"Search Terms","Hearings"
"Total Count","569"
"index","collection","packageId","granuleId","title","detailsLink","pdfLink","htmlLink","xmlLink","otherLink1","otherLink2","teaser","historical","publishdate"
"1","Congressional Hearings","CHRG-111shrg65082","CHRG-111shrg65082","Hearing with Treasury Secretary Geithner","https://www.govinfo.gov/app/details/CHRG-111shrg65082/CHRG-111shrg65082","https://www.govinfo.gov/content/pkg/CHRG-111shrg65082/pdf/CHRG-111shrg65082.pdf","https://www.govinfo.gov/content/pkg/CHRG-111shrg65082/html/CHRG-111shrg65082.htm","","",""," HEARING HELD IN WASHINGTON, DC, DECEMBER 16, 2010 Printed for the use of the Congressional Oversight Panel Available on the Internet: http://www.gpoaccess.gov/congress/house/administration/index.html U.S. GOVERNMENT PRINTING OFFICE 65-082 WASHINGTON : 2011 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: ...","","2010-12-16"
"2","Congressional Hearings","CHRG-111shrg65357","CHRG-111shrg65357","Nomination of Joseph A. Smith, Jr.","https://www.govinfo.gov/app/details/CHRG-111shrg65357/CHRG-111shrg65357","https://www.govinfo.gov/content/pkg/CHRG-111shrg65357/pdf/CHRG-111shrg65357.pdf","https://www.govinfo.gov/content/pkg/CHRG-111shrg65357/html/CHRG-111shrg65357.htm","","",""," ELEVENTH CONGRESS SECOND SESSION ON THE NOMINATION OF JOSEPH A. SMITH, JR., OF NORTH CAROLINA, TO BE DIRECTOR, FEDERAL HOUSING FINANCE AGENCY DECEMBER 9, 2010 Printed for the use of the Committee on Banking, Housing, and Urban Affairs Available at: http: //www.fdsys.gov / U.S. GOVERNMENT PRINTING OFFICE 65-357 WASHINGTON : 2011 For sale by the ...","","2010-12-09"
"3","Congressional Hearings","CHRG-111shrg65275","CHRG-111shrg65275","The State of the Credit Union Industry","https://www.govinfo.gov/app/details/CHRG-111shrg65275/CHRG-111shrg65275","https://www.govinfo.gov/content/pkg/CHRG-111shrg65275/pdf/CHRG-111shrg65275.pdf","https://www.govinfo.gov/content/pkg/CHRG-111shrg65275/html/CHRG-111shrg65275.htm","","",""," ELEVENTH CONGRESS SECOND SESSION ON EXAMINING THE HEALTH OF THE CREDIT UNION INDUSTRY AS WE EMERGE FROM THE FINANCIAL CRISIS AND RECOVER AND GROW OUR ECONOMY DECEMBER 9, 2010 Printed for the use of the Committee on Banking, Housing, and Urban Affairs Available at: http: //www.fdsys.gov / U.S. GOVERNMENT PRINTING OFFICE 65-275 WASHINGTON : 2011...","","2010-12-09"
"4","Congressional Hearings","CHRG-111shrg66277","CHRG-111shrg66277","Nomination of Ramona Emilia Romero, of Pennsylvania to Be General Counsel, U.S. Department of Agriculture","https://www.govinfo.gov/app/details/CHRG-111shrg66277/CHRG-111shrg66277","https://www.govinfo.gov/content/pkg/CHRG-111shrg66277/pdf/CHRG-111shrg66277.pdf","https://www.govinfo.gov/content/pkg/CHRG-111shrg66277/html/CHRG-111shrg66277.htm","","",""," ON AGRICULTURE, NUTRITION, AND FORESTRY UNITED STATES SENATE ONE HUNDRED ELEVENTH CONGRESS SECOND SESSION DECEMBER 9, 2010 Printed for the use of the Committee on Agriculture, Nutrition, and Forestry Available via the World Wide Web: http://www.fdsys.gov/ U.S. GOVERNMENT PRINTING OFFICE 66-277 PDF WASHINGTON : 2011 For sale by the Superintendent...","","2010-12-09"
"5","Congressional Hearings","CHRG-111shrg65272","CHRG-111shrg65272","Examining the Efficiency, Stability, and Integrity of the U.S. Capital Markets","https://www.govinfo.gov/app/details/CHRG-111shrg65272/CHRG-111shrg65272","https://www.govinfo.gov/content/pkg/CHRG-111shrg65272/pdf/CHRG-111shrg65272.pdf","https://www.govinfo.gov/content/pkg/CHRG-111shrg65272/html/CHRG-111shrg65272.htm","","","",", AND INVESTMENT of the COMMITTEE ON BANKING,HOUSING,AND URBAN AFFAIRS UNITED STATES SENATE and the PERMANENT SUBCOMMITTEE ON INVESTIGATIONS of the COMMITTEE ON HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS UNITED STATES SENATE ONE HUNDRED ELEVENTH CONGRESS SECOND SESSION ON EXAMINING THE EFFICIENCY, STABILITY, AND INTEGRITY OF THE U.S. ...","","2010-12-08"
"6","Congressional Hearings","CHRG-111shrg64225","CHRG-111shrg64225","Until There's a Cure: How to Help Alzheimer's Patients and Families Now","https://www.govinfo.gov/app/details/CHRG-111shrg64225/CHRG-111shrg64225","https://www.govinfo.gov/content/pkg/CHRG-111shrg64225/pdf/CHRG-111shrg64225.pdf","https://www.govinfo.gov/content/pkg/CHRG-111shrg64225/html/CHRG-111shrg64225.htm","","",""," ONE HUNDRED ELEVENTH CONGRESS SECOND SESSION WASHINGTON, DC DECEMBER 8, 2010 Serial No. 111-26 Printed for the use of the Special Committee on Aging [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.gpoaccess.gov/congress/ index.html U.S. GOVERNMENT PRINTING OFFICE 64-225 PDF WASHINGTON : 2011 For sale by ...","","2010-12-08"
"7","Congressional Hearings","CHRG-111shrg63306","CHRG-111shrg63306","The Employment Situation: November 2010","https://www.govinfo.gov/app/details/CHRG-111shrg63306/CHRG-111shrg63306","https://www.govinfo.gov/content/pkg/CHRG-111shrg63306/pdf/CHRG-111shrg63306.pdf","https://www.govinfo.gov/content/pkg/CHRG-111shrg63306/html/CHRG-111shrg63306.htm","","",""," CONGRESS SECOND SESSION DECEMBER 3, 2010 Printed for the use of the Joint Economic Committee U.S. GOVERNMENT PRINTING OFFICE 63-306 WASHINGTON : 2011 For sale by the Superintendent of Documents, U.S. Government Printing Office, http://bookstore.gpo.gov. For more information, contact the GPO Customer Contact Center, U.S. Government Printing Office...","","2010-12-03"
"8","Congressional Hearings","CHRG-111shrg65073","CHRG-111shrg65073","The Report of the Department of Defense Working Group that Conducted a Comprehensive Review of the Issues Associated with a Repeal of Section 654 of Title 10, U.S.C., ""Policy Concerning Homosexuality in the Armed Forces""","https://www.govinfo.gov/app/details/CHRG-111shrg65073/CHRG-111shrg65073","https://www.govinfo.gov/content/pkg/CHRG-111shrg65073/pdf/CHRG-111shrg65073.pdf","https://www.govinfo.gov/content/pkg/CHRG-111shrg65073/html/CHRG-111shrg65073.htm","","",""," SECTION 654 OF TITLE 10, U.S.C., ``POLICY CONCERNING HOMOSEXUALITY IN THE ARMED FORCES'' HEARINGS before the COMMITTEE ON ARMED SERVICES UNITED STATES SENATE ONE HUNDRED ELEVENTH CONGRESS SECOND SESSION DECEMBER 2 AND 3, 2010 Printed for the use of the Committee on Armed Services THE REPORT OF THE DEPARTMENT OF DEFENSE WORKING GROUP THAT CONDUCTED...","","2010-12-02"
"9","Congressional Hearings","CHRG-111shrg71129","CHRG-111shrg71129","Oversight of the Consumer Product Safety Commission: Product Safety in the Holiday Season","https://www.govinfo.gov/app/details/CHRG-111shrg71129/CHRG-111shrg71129","https://www.govinfo.gov/content/pkg/CHRG-111shrg71129/pdf/CHRG-111shrg71129.pdf","https://www.govinfo.gov/content/pkg/CHRG-111shrg71129/html/CHRG-111shrg71129.htm","","",""," PROTECTION, PRODUCT SAFETY, AND INSURANCE of the COMMITTEE ON COMMERCE, SCIENCE, AND TRANSPORTATION UNITED STATES SENATE ONE HUNDRED ELEVENTH CONGRESS SECOND SESSION DECEMBER 2, 2010 Printed for the use of the Committee on Commerce, Science, and Transportation U.S. GOVERNMENT PRINTING OFFICE 71-129 PDF WASHINGTON : 2011 For sale by the ...","","2010-12-02"
"10","Congressional Hearings","CHRG-111shrg63870","CHRG-111shrg63870","Finding Solutions to the Challenges Facing the U.S. Postal Service","https://www.govinfo.gov/app/details/CHRG-111shrg63870/CHRG-111shrg63870","https://www.govinfo.gov/content/pkg/CHRG-111shrg63870/pdf/CHRG-111shrg63870.pdf","https://www.govinfo.gov/content/pkg/CHRG-111shrg63870/html/CHRG-111shrg63870.htm","","","",", FEDERAL SERVICES, AND INTERNATIONAL SECURITY SUBCOMMITTEE of the COMMITTEE ON HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS UNITED STATES SENATE of the ONE HUNDRED ELEVENTH CONGRESS SECOND SESSION DECEMBER 2, 2010 Available via the World Wide Web: http://www.fdsys.gov/ Printed for the use of the Committee on Homeland Security and Governmental ...","","2010-12-02"
