"Search Terms","Hearings"
"Total Count","480"
"index","collection","packageId","granuleId","title","detailsLink","pdfLink","htmlLink","xmlLink","otherLink1","otherLink2","teaser","historical","publishdate"
"1","Congressional Hearings","CHRG-113shrg49104584","CHRG-113shrg49104584","Legislative Branch Appropriations for Fiscal Year 2015","https://www.govinfo.gov/app/details/CHRG-113shrg49104584/CHRG-113shrg49104584","https://www.govinfo.gov/content/pkg/CHRG-113shrg49104584/pdf/CHRG-113shrg49104584.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg49104584/html/CHRG-113shrg49104584.htm","","","","The subcommittee did not hold formal hearings for the Government Printing Office and the Office of Compliance. Following are the statements submitted by them and the answers to questions submitted to them by the subcommittee:] DEPARTMENTAL WITNESSES Government Printing Office Prepared Statement of Davita Vance-Cooks, Public Printer Chairwoman ...","","2014-12-24"
"2","Congressional Hearings","CHRG-113shrg20362","CHRG-113shrg20362","Oversight Hearing: Epa's Proposed National Ambient Airquality Standards for Ozone","https://www.govinfo.gov/app/details/CHRG-113shrg20362/CHRG-113shrg20362","https://www.govinfo.gov/content/pkg/CHRG-113shrg20362/pdf/CHRG-113shrg20362.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg20362/html/CHRG-113shrg20362.htm","","",""," SAFETY of the COMMITTEE ON ENVIRONMENT AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS SECOND SESSION DECEMBER 17, 2014 Printed for the use of the Committee on Environment and Public Works [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.gpo.gov/fdsys ______ U.S. GOVERNMENT ...","","2014-12-17"
"3","Congressional Hearings","CHRG-113shrg20361","CHRG-113shrg20361","Oversight of the Implementation of the President's Executive Order on Improving Chemical Facility Safety and Security","https://www.govinfo.gov/app/details/CHRG-113shrg20361/CHRG-113shrg20361","https://www.govinfo.gov/content/pkg/CHRG-113shrg20361/pdf/CHRG-113shrg20361.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg20361/html/CHRG-113shrg20361.htm","","","","the COMMITTEE ON ENVIRONMENT AND PUBLIC WORKS & HEALTH, EDUCATION, LABOR AND PENSIONS UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS SECOND SESSION DECEMBER 11, 2014 Printed for the use of the Committee on Environment and Public Works [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.gpo.gov/fdsys U.S. ...","","2014-12-11"
"4","Congressional Hearings","CHRG-113shrg28428","CHRG-113shrg28428","S. Hrg. 113-896 Keeping Families Together: The President's Executive Action on Immigration and the Need to Pass Comprehensive Reform","https://www.govinfo.gov/app/details/CHRG-113shrg28428/CHRG-113shrg28428","https://www.govinfo.gov/content/pkg/CHRG-113shrg28428/pdf/CHRG-113shrg28428.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg28428/html/CHRG-113shrg28428.htm","","",""," COMMITTEE ON THE JUDICIARY UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS SECOND SESSION DECEMBER 10, 2014 Serial No. J-113-78 Printed for the use of the Committee on the Judiciary [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] U.S. GOVERNMENT PUBLISHING OFFICE 28-428 PDF WASHINGTON : 2018 COMMITTEE ON THE JUDICIARY PATRICK J. LEAHY, Vermont, ...","","2014-12-10"
"5","Congressional Hearings","CHRG-113shrg94193","CHRG-113shrg94193","The Ebola Epidemic: The Keys to Success for the International Responsea","https://www.govinfo.gov/app/details/CHRG-113shrg94193/CHRG-113shrg94193","https://www.govinfo.gov/content/pkg/CHRG-113shrg94193/pdf/CHRG-113shrg94193.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg94193/html/CHRG-113shrg94193.htm","","",""," ON FOREIGN RELATIONS UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS SECOND SESSION DECEMBER 10, 2014 Printed for the use of the Committee on Foreign Relations Available via the World Wide Web: http://www.gpo.gov/fdsys/ ______ U.S. GOVERNMENT PUBLISHING OFFICE 94-193 PDF WASHINGTON : 2015 For sale by the Superintendent of Documents, U.S...","","2014-12-10"
"6","Congressional Hearings","CHRG-113shrg94570","CHRG-113shrg94570","Passenger Rail: Investing in Our Nation's Future","https://www.govinfo.gov/app/details/CHRG-113shrg94570/CHRG-113shrg94570","https://www.govinfo.gov/content/pkg/CHRG-113shrg94570/pdf/CHRG-113shrg94570.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg94570/html/CHRG-113shrg94570.htm","","","",", SAFETY, AND SECURITY of the COMMITTEE ON COMMERCE, SCIENCE, AND TRANSPORTATION UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS SECOND SESSION DECEMBER 10, 2014 Printed for the use of the Committee on Commerce, Science, and Transportation [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] U.S. GOVERNMENT PUBLISHING OFFICE 94-570 PDF WASHINGTON...","","2014-12-10"
"7","Congressional Hearings","CHRG-113shrg94366","CHRG-113shrg94366","The Commodity Futures Trading Commission: Effective Enforcement and the Future of Derivatives Regulation","https://www.govinfo.gov/app/details/CHRG-113shrg94366/CHRG-113shrg94366","https://www.govinfo.gov/content/pkg/CHRG-113shrg94366/pdf/CHRG-113shrg94366.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg94366/html/CHRG-113shrg94366.htm","","",""," ON AGRICULTURE, NUTRITION AND FORESTRY UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS SECOND SESSION DECEMBER 10, 2014 Printed for the use of the Committee on Agriculture, Nutrition and Forestry Available via the World Wide Web: http://www.fdsys.gov/ ______ U.S. GOVERNMENT PUBLISHING OFFICE 94-366 PDF WASHINGTON : 2015 For sale by the ...","","2014-12-10"
"8","Congressional Hearings","CHRG-113shrg93566","CHRG-113shrg93566","Cybersecurity: Enhancing Coordination to Protect the Financial Sector","https://www.govinfo.gov/app/details/CHRG-113shrg93566/CHRG-113shrg93566","https://www.govinfo.gov/content/pkg/CHRG-113shrg93566/pdf/CHRG-113shrg93566.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg93566/html/CHRG-113shrg93566.htm","","",""," UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS SECOND SESSION ON EXAMINING THE COORDINATION AND INFORMATION SHARING BETWEEN THE FINANCIAL SERVICES INDUSTRY AND THE SECRET SERVICE, DEPARTMENT OF HOMELAND SECURITY, FEDERAL BUREAU OF INVESTIGATION, THE TREASURY DEPARTMENT, THE FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL, FEDERAL ...","","2014-12-10"
"9","Congressional Hearings","CHRG-113shrg95123","CHRG-113shrg95123","Social Security: Is a Key Foundation of Economic Security Working for Women?","https://www.govinfo.gov/app/details/CHRG-113shrg95123/CHRG-113shrg95123","https://www.govinfo.gov/content/pkg/CHRG-113shrg95123/pdf/CHRG-113shrg95123.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg95123/html/CHRG-113shrg95123.htm","","",""," ONE HUNDRED THIRTEENTH CONGRESS SECOND SESSION DECEMBER 9, 2014 [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Finance U.S. GOVERNMENT PUBLISHING OFFICE 95-123-PDF WASHINGTON : 2015 For sale by the Superintendent of Documents, U.S. Government Publishing Office, http://bookstore.gpo.gov. For more information, ...","","2014-12-09"
"10","Congressional Hearings","CHRG-113shrg93482","CHRG-113shrg93482","Inequality, Opportunity, and the Housing Market","https://www.govinfo.gov/app/details/CHRG-113shrg93482/CHRG-113shrg93482","https://www.govinfo.gov/content/pkg/CHRG-113shrg93482/pdf/CHRG-113shrg93482.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg93482/html/CHRG-113shrg93482.htm","","",""," of the COMMITTEE ON BANKING,HOUSING,AND URBAN AFFAIRS UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS SECOND SESSION ON EXAMINING ONGOING CHALLENGES AND DISPARITIES IN THE HOUSING MARKET AND HOUSING FINANCE SYSTEM DECEMBER 9, 2014 Printed for the use of the Committee on Banking, Housing, and Urban Affairs [GRAPHIC(S) NOT AVAILABLE IN TIFF ...","","2014-12-09"
